"","pe1","pu","pe2","pe3","pe4","pe5","pe6","pe7"
"42",0.419999986886978,0.419999986886978,0.503424644470215,0.536741197109222,0.591549277305603,0.783582091331482,0.878661096096039,0.955993950366974
"43",0.430000007152557,0.430000007152557,0.513651847839355,0.546899855136871,0.601398587226868,0.790441155433655,0.882956862449646,0.957683742046356
"44",0.439999997615814,0.439999997615814,0.523809552192688,0.556962013244629,0.611111104488373,0.797101438045502,0.887096762657166,0.959302306175232
"45",0.449999988079071,0.449999988079071,0.533898293972015,0.566929161548615,0.620689630508423,0.803571403026581,0.891089081764221,0.960854113101959
"46",0.46000000834465,0.46000000834465,0.543918907642365,0.576802492141724,0.630136966705322,0.809859156608582,0.894941627979279,0.962343096733093
"47",0.469999998807907,0.469999998807907,0.553872048854828,0.586583435535431,0.639455795288086,0.815972208976746,0.898661553859711,0.9637730717659
"48",0.479999989271164,0.479999989271164,0.563758373260498,0.596273303031921,0.648648619651794,0.821917831897736,0.902255654335022,0.965147435665131
"49",0.490000009536743,0.490000009536743,0.573578596115112,0.605873286724091,0.657718122005463,0.827702701091766,0.905730128288269,0.966469407081604
"50",0.5,0.5,0.583333313465118,0.615384638309479,0.666666686534882,0.833333313465118,0.909090936183929,0.967741906642914
"51",0.509999990463257,0.509999990463257,0.593023240566254,0.624808549880981,0.675496697425842,0.838815808296204,0.912343442440033,0.96896767616272
"52",0.519999980926514,0.519999980926514,0.602649033069611,0.634146332740784,0.684210538864136,0.844155848026276,0.915492951869965,0.970149278640747
"53",0.529999971389771,0.529999971389771,0.612211227416992,0.643399119377136,0.692810475826263,0.849358975887299,0.918544173240662,0.971288919448853
"54",0.540000021457672,0.540000021457672,0.621710538864136,0.652567982673645,0.701298713684082,0.854430377483368,0.921501696109772,0.972388982772827
"55",0.550000011920929,0.550000011920929,0.631147563457489,0.661654114723206,0.709677398204803,0.859375,0.924369752407074,0.973451316356659
"56",0.560000002384186,0.560000002384186,0.6405228972435,0.670658707618713,0.717948734760284,0.864197552204132,0.927152335643768,0.97447794675827
"57",0.569999992847443,0.569999992847443,0.649837136268616,0.679582715034485,0.726114630699158,0.868902444839478,0.929853200912476,0.97547060251236
"58",0.579999983310699,0.579999983310699,0.659090936183929,0.688427329063416,0.734177231788635,0.87349396944046,0.932475864887238,0.976430952548981
"59",0.589999973773956,0.589999973773956,0.668284773826599,0.697193503379822,0.742138385772705,0.877976179122925,0.935023784637451,0.977360546588898
"60",0.600000023841858,0.600000023841858,0.677419364452362,0.705882370471954,0.75,0.882352948188782,0.9375,0.97826087474823
"61",0.610000014305115,0.610000014305115,0.686495184898376,0.71449488401413,0.757763981819153,0.886627912521362,0.939907550811768,0.979133248329163
"62",0.620000004768372,0.620000004768372,0.69551283121109,0.723032057285309,0.765432119369507,0.890804588794708,0.942249238491058,0.979978919029236
"63",0.629999995231628,0.629999995231628,0.704472839832306,0.731494903564453,0.77300614118576,0.894886374473572,0.944527745246887,0.980799198150635
"64",0.639999985694885,0.639999985694885,0.713375806808472,0.739884376525879,0.780487775802612,0.898876428604126,0.946745574474335,0.981595098972321
"65",0.649999976158142,0.649999976158142,0.722222208976746,0.748201429843903,0.787878811359406,0.902777791023254,0.948905110359192,0.982367753982544
"66",0.660000026226044,0.660000026226044,0.731012642383575,0.756447017192841,0.79518073797226,0.906593382358551,0.95100861787796,0.983118176460266
"67",0.670000016689301,0.670000016689301,0.739747643470764,0.76462197303772,0.802395224571228,0.910326063632965,0.953058302402496,0.983847260475159
"68",0.680000007152557,0.680000007152557,0.74842768907547,0.772727251052856,0.809523820877075,0.913978517055511,0.955056190490723,0.984555959701538
"69",0.689999997615814,0.689999997615814,0.757053315639496,0.780763804912567,0.816568076610565,0.917553186416626,0.957004189491272,0.985245108604431
"70",0.699999988079071,0.699999988079071,0.765625,0.788732409477234,0.823529422283173,0.921052634716034,0.958904087543488,0.98591548204422
"71",0.709999978542328,0.709999978542328,0.774143278598785,0.796633958816528,0.830409348011017,0.924479186534882,0.960757791996002,0.986567854881287
"72",0.720000028610229,0.720000028610229,0.782608687877655,0.804469287395477,0.837209284305573,0.927835047245026,0.96256685256958,0.987202942371368
"73",0.730000019073486,0.730000019073486,0.791021645069122,0.812239229679108,0.843930661678314,0.931122422218323,0.96433287858963,0.987821400165558
"74",0.740000009536743,0.740000009536743,0.79938268661499,0.819944620132446,0.850574731826782,0.934343457221985,0.966057419776917,0.988423883914948
"75",0.75,0.75,0.807692289352417,0.827586233615875,0.857142865657806,0.9375,0.967741906642914,0.989010989665985
"76",0.759999990463257,0.759999990463257,0.815950930118561,0.835164844989777,0.863636374473572,0.940594077110291,0.969387769699097,0.989583313465118
"77",0.769999980926514,0.769999980926514,0.824159026145935,0.842681288719177,0.870056509971619,0.9436274766922,0.970996201038361,0.990141451358795
"78",0.779999971389771,0.779999971389771,0.832317054271698,0.85013622045517,0.876404464244843,0.946601927280426,0.972568571567535,0.990685880184174
"79",0.790000021457672,0.790000021457672,0.840425550937653,0.857530534267426,0.882681548595428,0.949519217014313,0.974106013774872,0.991217076778412
"80",0.800000011920929,0.800000011920929,0.848484873771667,0.864864885807037,0.888888895511627,0.952380955219269,0.97560977935791,0.991735517978668
"81",0.810000002384186,0.810000002384186,0.856495440006256,0.872139990329742,0.895027637481689,0.955188691616058,0.977080821990967,0.992241740226746
"82",0.819999992847443,0.819999992847443,0.864457845687866,0.879356563091278,0.901098906993866,0.957943916320801,0.978520274162292,0.992736101150513
"83",0.829999983310699,0.829999983310699,0.872372388839722,0.886515378952026,0.907103836536407,0.960648119449615,0.979929149150848,0.993218958377838
"84",0.839999973773956,0.839999973773956,0.880239546298981,0.893617033958435,0.91304349899292,0.963302731513977,0.981308400630951,0.993690848350525
