"","romnum","romage","lonnum","lonage","halnum","us16num","halage","halive","qx","lx"
"62",NA,NA,NA,NA,22.2000007629395,87.4400024414062,61,222,0.00973400007933378,87440
"63",NA,NA,NA,NA,21.2000007629395,86.588996887207,62,212,0.0104440003633499,86589
"64",NA,NA,NA,NA,20.2000007629395,85.6849975585938,63,202,0.0111769996583462,85685
"65",NA,NA,NA,NA,19.2000007629395,84.7269973754883,64,192,0.0119279995560646,84727
"66",NA,NA,NA,NA,18.2000007629395,83.7160034179688,65,182,0.0127069996669888,83716
"67",NA,NA,NA,NA,17.2000007629395,82.6529998779297,66,172,0.0135570000857115,82653
"68",NA,NA,NA,NA,16.2000007629395,81.5319976806641,67,162,0.0145150003954768,81532
"69",NA,NA,NA,NA,15.1999998092651,80.3489990234375,68,152,0.0156340003013611,80349
"70",NA,NA,NA,NA,14.1999998092651,79.0920028686523,69,142,0.0169610008597374,79092
"71",NA,NA,NA,NA,13.1000003814697,77.7509994506836,70,131,0.0185959991067648,77751
"72",NA,NA,NA,NA,12,76.3050003051758,71,120,0.0205060001462698,76305
"73",NA,NA,NA,NA,10.8999996185303,74.7399978637695,72,109,0.0225639995187521,74740
"74",NA,NA,NA,NA,9.80000019073486,73.0540008544922,73,98,0.0246549993753433,73054
"75",NA,NA,NA,NA,8.80000019073486,71.2529983520508,74,88,0.0268779993057251,71253
"76",NA,NA,NA,NA,7.80000019073486,69.3379974365234,75,78,0.0293659996241331,69338
"77",NA,NA,NA,NA,6.80000019073486,67.302001953125,76,68,0.0322050005197525,67302
"78",NA,NA,NA,NA,5.80000019073486,65.1340026855469,77,58,0.0353650003671646,65134
"79",NA,NA,NA,NA,4.90000009536743,62.8310012817383,78,49,0.0388780012726784,62831
"80",NA,NA,NA,NA,4.09999990463257,60.3880004882812,79,41,0.043163999915123,60388
"81",NA,NA,NA,NA,3.40000009536743,57.7809982299805,80,34,0.0479229986667633,57781
"82",NA,NA,NA,NA,2.79999995231628,55.0120010375977,81,28,0.0529769994318485,55012
"83",NA,NA,NA,NA,2.29999995231628,52.0979995727539,82,23,0.0588390007615089,52098
"84",NA,NA,NA,NA,2,49.0320014953613,83,20,0.0655609965324402,49032
"85",NA,NA,NA,NA,NA,45.818000793457,84,NA,0.0729489997029305,45818
"86",NA,NA,NA,NA,NA,42.4749984741211,85,NA,0.0811939984560013,42475
"87",NA,NA,NA,NA,NA,39.0270004272461,86,NA,0.0908140018582344,39027
"88",NA,NA,NA,NA,NA,35.4830017089844,87,NA,0.101377002894878,35483
"89",NA,NA,NA,NA,NA,31.8850002288818,88,NA,0.112926997244358,31885
"90",NA,NA,NA,NA,NA,28.2849998474121,89,NA,0.12550200521946,28285
"91",NA,NA,NA,NA,NA,24.7350006103516,90,NA,0.139125004410744,24735
"92",NA,NA,NA,NA,NA,21.2940006256104,91,NA,0.153806000947952,21294
"93",NA,NA,NA,NA,NA,18.0189990997314,92,NA,0.169539004564285,18019
"94",NA,NA,NA,NA,NA,14.96399974823,93,NA,0.186296001076698,14964
"95",NA,NA,NA,NA,NA,12.1759996414185,94,NA,0.204030007123947,12176
"96",NA,NA,NA,NA,NA,9.69200038909912,95,NA,0.222669005393982,9692
"97",NA,NA,NA,NA,NA,7.53399991989136,96,NA,0.242120996117592,7534
"98",NA,NA,NA,NA,NA,5.71000003814697,97,NA,0.262266993522644,5710
"99",NA,NA,NA,NA,NA,4.21199989318848,98,NA,0.282972991466522,4212
"100",NA,NA,NA,NA,NA,3.01999998092651,99,NA,0.304084002971649,3020
"101",NA,NA,NA,NA,NA,2.10199999809265,101,NA,1,2102
