"","Ageyears","qx","lx","dx","Lx","Tx","ex","age"
"72","71–72",0.0205059554427862,76305.1171875,1564.70935058594,75522.765625,1146299.625,15.0225782394409,72
"73","72–73",0.02256422303617,74740.40625,1686.45922851562,73897.171875,1070776.875,14.3266134262085,73
"74","73–74",0.0246546063572168,73053.9453125,1801.1162109375,72153.390625,996879.6875,13.6458024978638,74
"75","74–75",0.0268777962774038,71252.828125,1915.11901855469,70295.265625,924726.25,12.9780988693237,75
"76","75–76",0.0293662250041962,69337.7109375,2036.18676757812,68319.6171875,854431,12.3227462768555,76
"77","76–77",0.0322047881782055,67301.5234375,2167.43139648438,66217.8125,786111.375,11.6804399490356,77
"78","77–78",0.0353653393685818,65134.09375,2303.4892578125,63982.3515625,719893.5625,11.0524845123291,78
"79","78–79",0.0388779826462269,62830.60546875,2442.72729492188,61609.2421875,655911.25,10.4393587112427,79
"80","79–80",0.0431636124849319,60387.87890625,2606.55908203125,59084.6015625,594302,9.84141159057617,80
"81","80–81",0.047922533005476,57781.3203125,2769.02734375,56396.8046875,535217.375,9.26280975341797,81
"82","81–82",0.0529773235321045,55012.29296875,2914.40405273438,53555.09375,478820.59375,8.70388317108154,82
"83","82–83",0.0588391572237015,52097.890625,3065.39599609375,50565.1953125,425265.5,8.16281604766846,83
"84","83–84",0.0655613914132118,49032.49609375,3214.638671875,47425.1796875,374700.28125,7.64187669754028,84
"85","84–85",0.0729490742087364,45817.859375,3342.37036132812,44146.671875,327275.125,7.14295959472656,85
"86","85–86",0.0811935216188431,42475.48828125,3448.734375,40751.12109375,283128.4375,6.66568994522095,86
"87","86–87",0.0908139199018478,39026.75390625,3544.17260742188,37254.66796875,242377.3125,6.21054267883301,87
"88","87–88",0.101376831531525,35482.58203125,3597.11181640625,33684.02734375,205122.65625,5.78093957901001,88
"89","88–89",0.112927429378033,31885.470703125,3600.744140625,30085.09765625,171438.625,5.37670040130615,89
"90","89–90",0.12550188601017,28284.7265625,3549.78662109375,26509.83203125,141353.53125,4.99752140045166,90
"91","90–91",0.139124721288681,24734.939453125,3441.24145507812,23014.318359375,114843.6953125,4.64297437667847,91
"92","91–92",0.153806000947952,21293.697265625,3275.09838867188,19656.1484375,91829.375,4.31251430511475,92
"93","92–93",0.169538646936417,18018.599609375,3054.84887695312,16491.17578125,72173.2265625,4.00548458099365,93
"94","93–94",0.186296001076698,14963.7509765625,2787.68701171875,13569.908203125,55682.05078125,3.72112917900085,94
"95","94–95",0.204029887914658,12176.064453125,2484.28100585938,10933.923828125,42112.140625,3.45860028266907,95
"96","95–96",0.222669392824173,9691.783203125,2158.0634765625,8612.751953125,31178.21875,3.21697449684143,96
"97","96–97",0.242120549082756,7533.7197265625,1824.068359375,6621.685546875,22565.466796875,2.99526238441467,97
"98","97–98",0.262267202138901,5709.6513671875,1497.45434570312,4960.92431640625,15943.7802734375,2.79242634773254,98
"99","98–99",0.28297284245491,4212.197265625,1191.93737792969,3616.228515625,10982.8564453125,2.60739374160767,99
"100","99–100",0.304084002971649,3020.259765625,918.412658691406,2561.05346679688,7366.62744140625,2.43907070159912,100
"101","100 and over",1,2101.84716796875,2101.84716796875,4805.57421875,4805.57421875,2.28635764122009,101
